"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekend",34,80,"0.000075","0.0000644","0.0000914","0.0000444","0.000133799","0.0000392",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.16074754125,0.13802855542,0.08401738156,0.09516254442,0.19589767027,0.28677147028945,"P1"
"D","apr","weekend",35,80,"0.0000872","0.0000721","0.000112638","0.0000553","0.000164716","0.0000397",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.18689580796,0.154531969655,0.085089031835,0.118524520415,0.2414170873509,0.3530358933938,"P1"
"D","apr","weekend",36,80,"0.0000892","0.000084","0.000103253","0.0000552","0.000152593","0.0000386",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.19118240906,0.1800372462,0.08273140123,0.11831019036,0.22130221168915,0.32705266082615,"P1"
"D","apr","weekend",37,80,"0.0000774","0.0000675","0.0000936","0.0000502","0.000127193","0.0000383",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.16589146257,0.144672787125,0.082088411065,0.10759368761,0.20061293148,0.27261282685615,"P1"
"D","apr","weekend",38,80,"0.0000782","0.0000663","0.0000948","0.0000517","0.000126355","0.0000408",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.16760610301,0.142100826465,0.08744666244,0.110808638435,0.20318489214,0.27081674099525,"P1"
"D","apr","weekend",39,80,"0.0000743","0.0000666","0.0000948","0.0000518","0.000117023","0.0000406",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.159247230865,0.14274381663,0.08701800233,0.11102296849,0.20318489214,0.25081546026265,"P1"
"D","apr","weekend",40,80,"0.0000735","0.0000663","0.0000949","0.0000473","0.000110199","0.0000385",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.157532590425,0.142100826465,0.082517071175,0.101378116015,0.203399222195,0.23618957730945,"P1"
"D","apr","weekend",41,80,"0.0000728","0.0000637","0.0000845","0.0000482","0.000112541","0.0000431",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.15603228004,0.136528245035,0.092376253705,0.10330708651,0.181108896475,0.24120918719755,"P1"
"D","apr","weekend",42,80,"0.0000701","0.00006","0.0000778","0.0000485","0.000121711","0.0000406",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.150245368555,0.128598033,0.08701800233,0.103950076675,0.16674878279,0.26086325324105,"P1"
"D","apr","weekend",43,80,"0.0000699","0.0000576","0.0000791","0.0000485","0.00012316","0.000039",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.149816708445,0.12345411168,0.08358872145,0.103950076675,0.169535073505,0.263968895738,"P1"
"D","apr","weekend",44,80,"0.000062","0.0000568","0.000074","0.0000447","0.0000867","0.0000373",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.1328846341,0.12173947124,0.079945110515,0.095805534585,0.1586042407,0.185824157685,"P1"
"D","apr","weekend",45,80,"0.0000619","0.0000563","0.0000696","0.0000437","0.0000966","0.0000302",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.132670304045,0.120667820965,0.06472767661,0.093662234035,0.14917371828,0.20704283313,"P1"
